Altium Designer Pick and Place Locations
C:\pure\openmv\github\openmv-boards\openmv5\rt10\altium\Build Files\Pick Place\OpenMV-RT10-rev1.csv

========================================================================================================================
File Design Information:

Date:       03/04/23
Time:       17:53
Revision:   df3217e6a0744ba0ca089e0397d35de326459d2b
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Part Number","Footprint"
"R26","BottomLayer","24.1500","38.6250","270","0402WGF1001TCE","0402-RES"
"R27","BottomLayer","17.1250","38.7500","90","AC0402FR-07100KL","0402-RES"
"R28","BottomLayer","16.6250","36.4750","270","AC0402FR-07100KL","0402-RES"
"R29","BottomLayer","15.8500","36.4750","270","AC0402FR-07100KL","0402-RES"
"R30","BottomLayer","13.4500","39.9000","180","AC0402FR-074K7L","0402-RES"
"R31","BottomLayer","13.4500","40.7750","180","AC0402FR-074K7L","0402-RES"
"R32","BottomLayer","19.5250","24.3500","270","RC0201FR-0730KL","0201-RES"
"R33","TopLayer","22.9999","24.9999","180","AC0402FR-1310KL","0402-RES"
"R34","BottomLayer","7.3000","16.1750","180","AC0402FR-07100KL","0402-RES"
"R35","TopLayer","8.1250","17.1750","180","CRGCQ0402F220R","0402-RES"
"R36","BottomLayer","11.2500","16.1500","270","0402WGF1001TCE","0402-RES"
"R37","BottomLayer","8.3250","33.1500","0","AC0402FR-1310KL","0402-RES"
"R38","BottomLayer","9.4123","11.8885","90","CR0402-FX-6491GLF","0402-RES"
"R39","BottomLayer","10.9750","11.6750","0","0402WGF1001TCE","0402-RES"
"R40","TopLayer","24.3250","29.7500","270","RC0402FR-072M2L","0402-RES"
"R41","BottomLayer","30.0920","9.4335","0","0402WGF1004TCE","0402-RES"
"RN1","BottomLayer","26.2999","18.5001","180","EXB-2HV104JV","EXB2HV104JV"
"RN2","BottomLayer","6.2750","30.9001","270","EXB-2HV104JV","EXB2HV104JV"
"U1","BottomLayer","18.8000","2.1250","180","MIC5365-3.3YMT-TZ","VREG_MIC5365-3.3YMT-TZ"
"U2","BottomLayer","10.8999","2.6751","270","BQ24075RGTR","QFN50P300X300X100-17N"
"U3","TopLayer","6.3000","30.2999","180","LBEE5KL1DX-883","XCVR_LBEE5KL1DX-TEMP"
"Y1","TopLayer","22.9999","27.7000","90","SC32S-7PF20PPM","XTAL_ABS07-32.768KHZ-7-T"
"Y2","TopLayer","23.0250","31.0749","270","XRCGB24M000F3M00R0","XRCGB24M000F3M00R0"
